EventName(한/영),캐릭터 이름(name)(영),대사(context)(한)
,현식,이분과 대화를 하고 싶다면 나를 통하도록
,주인공,(이건 무슨 상황이지?)
end,,
,,
반복-김,김,아 그거...
,현식,그건 우린 모른다.
,주인공,(이건 무슨 상황이지?)
end,,
,,
아이템1-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템2-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템3-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템4-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템5-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템6-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템7-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템8-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템9-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템10-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템11-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템12-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템13-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템14-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템15-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템16-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템17-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템18-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템19-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
아이템20-김,주인공,이것에 대해 알고 있는게 있습니까?
,김,그건...
,현식,우린 모른다.
end,,
,,
추가이벤트1-김,김,추가 이벤트 1!
,주인공,추가 이벤트 1 확인!
end,,
,,
추가이벤트2-김,김,추가 이벤트 2!
,주인공,추가 이벤트 2 확인!
end,,
,,
추가이벤트3-김,김,추가 이벤트 3!
,주인공,추가 이벤트 3 확인!
end,,
